2022-03-03 17:57:24,872 - movie_logger - INFO - 가상 브라우저 실행...
2022-03-03 17:57:25,250 - movie_logger - INFO - 네이버 영화 랭킹 1페이지 이동...
2022-03-03 17:57:25,268 - movie_logger - INFO - 1-클라우스 영화 제목 클릭... :
2022-03-03 17:57:26,267 - movie_logger - INFO - 영화 평점 클릭... :
2022-03-03 17:57:26,287 - movie_logger - INFO - 영화 제목 수집 : 클라우스
2022-03-03 17:57:26,307 - movie_logger - INFO - iframe으로 전환
2022-03-03 17:57:29,766 - movie_logger - INFO - 79,클라우스
2022-03-03 17:57:29,800 - movie_logger - INFO - 80,클라우스
2022-03-03 17:57:29,933 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:29,972 - movie_logger - INFO - 81,클라우스
2022-03-03 17:57:30,005 - movie_logger - INFO - 82,클라우스
2022-03-03 17:57:30,035 - movie_logger - INFO - 83,클라우스
2022-03-03 17:57:30,067 - movie_logger - INFO - 84,클라우스
2022-03-03 17:57:30,097 - movie_logger - INFO - 85,클라우스
2022-03-03 17:57:30,128 - movie_logger - INFO - 86,클라우스
2022-03-03 17:57:30,159 - movie_logger - INFO - 87,클라우스
2022-03-03 17:57:30,189 - movie_logger - INFO - 88,클라우스
2022-03-03 17:57:30,221 - movie_logger - INFO - 89,클라우스
2022-03-03 17:57:30,253 - movie_logger - INFO - 90,클라우스
2022-03-03 17:57:30,386 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:30,421 - movie_logger - INFO - 91,클라우스
2022-03-03 17:57:30,455 - movie_logger - INFO - 92,클라우스
2022-03-03 17:57:30,489 - movie_logger - INFO - 93,클라우스
2022-03-03 17:57:30,519 - movie_logger - INFO - 94,클라우스
2022-03-03 17:57:30,549 - movie_logger - INFO - 95,클라우스
2022-03-03 17:57:30,579 - movie_logger - INFO - 96,클라우스
2022-03-03 17:57:30,608 - movie_logger - INFO - 97,클라우스
2022-03-03 17:57:30,640 - movie_logger - INFO - 98,클라우스
2022-03-03 17:57:30,671 - movie_logger - INFO - 99,클라우스
2022-03-03 17:57:30,704 - movie_logger - INFO - 100,클라우스
2022-03-03 17:57:30,836 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:30,872 - movie_logger - INFO - 101,클라우스
2022-03-03 17:57:30,908 - movie_logger - INFO - 102,클라우스
2022-03-03 17:57:30,939 - movie_logger - INFO - 103,클라우스
2022-03-03 17:57:30,972 - movie_logger - INFO - 104,클라우스
2022-03-03 17:57:31,004 - movie_logger - INFO - 105,클라우스
2022-03-03 17:57:31,035 - movie_logger - INFO - 106,클라우스
2022-03-03 17:57:31,067 - movie_logger - INFO - 107,클라우스
2022-03-03 17:57:31,098 - movie_logger - INFO - 108,클라우스
2022-03-03 17:57:31,130 - movie_logger - INFO - 109,클라우스
2022-03-03 17:57:31,162 - movie_logger - INFO - 110,클라우스
2022-03-03 17:57:31,298 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:31,336 - movie_logger - INFO - 111,클라우스
2022-03-03 17:57:31,370 - movie_logger - INFO - 112,클라우스
2022-03-03 17:57:31,402 - movie_logger - INFO - 113,클라우스
2022-03-03 17:57:31,434 - movie_logger - INFO - 114,클라우스
2022-03-03 17:57:31,467 - movie_logger - INFO - 115,클라우스
2022-03-03 17:57:31,499 - movie_logger - INFO - 116,클라우스
2022-03-03 17:57:31,533 - movie_logger - INFO - 117,클라우스
2022-03-03 17:57:31,566 - movie_logger - INFO - 118,클라우스
2022-03-03 17:57:31,600 - movie_logger - INFO - 119,클라우스
2022-03-03 17:57:31,634 - movie_logger - INFO - 120,클라우스
2022-03-03 17:57:31,764 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:31,808 - movie_logger - INFO - 121,클라우스
2022-03-03 17:57:31,841 - movie_logger - INFO - 122,클라우스
2022-03-03 17:57:31,872 - movie_logger - INFO - 123,클라우스
2022-03-03 17:57:31,905 - movie_logger - INFO - 124,클라우스
2022-03-03 17:57:31,937 - movie_logger - INFO - 125,클라우스
2022-03-03 17:57:31,969 - movie_logger - INFO - 126,클라우스
2022-03-03 17:57:32,002 - movie_logger - INFO - 127,클라우스
2022-03-03 17:57:32,037 - movie_logger - INFO - 128,클라우스
2022-03-03 17:57:32,071 - movie_logger - INFO - 129,클라우스
2022-03-03 17:57:32,105 - movie_logger - INFO - 130,클라우스
2022-03-03 17:57:32,231 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:32,270 - movie_logger - INFO - 131,클라우스
2022-03-03 17:57:32,306 - movie_logger - INFO - 132,클라우스
2022-03-03 17:57:32,339 - movie_logger - INFO - 133,클라우스
2022-03-03 17:57:32,371 - movie_logger - INFO - 134,클라우스
2022-03-03 17:57:32,403 - movie_logger - INFO - 135,클라우스
2022-03-03 17:57:32,436 - movie_logger - INFO - 136,클라우스
2022-03-03 17:57:32,469 - movie_logger - INFO - 137,클라우스
2022-03-03 17:57:32,502 - movie_logger - INFO - 138,클라우스
2022-03-03 17:57:32,536 - movie_logger - INFO - 139,클라우스
2022-03-03 17:57:32,569 - movie_logger - INFO - 140,클라우스
2022-03-03 17:57:32,701 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:32,742 - movie_logger - INFO - 141,클라우스
2022-03-03 17:57:32,776 - movie_logger - INFO - 142,클라우스
2022-03-03 17:57:32,807 - movie_logger - INFO - 143,클라우스
2022-03-03 17:57:32,839 - movie_logger - INFO - 144,클라우스
2022-03-03 17:57:32,873 - movie_logger - INFO - 145,클라우스
2022-03-03 17:57:32,906 - movie_logger - INFO - 146,클라우스
2022-03-03 17:57:32,939 - movie_logger - INFO - 147,클라우스
2022-03-03 17:57:32,972 - movie_logger - INFO - 148,클라우스
2022-03-03 17:57:33,007 - movie_logger - INFO - 149,클라우스
2022-03-03 17:57:33,041 - movie_logger - INFO - 150,클라우스
2022-03-03 17:57:33,173 - movie_logger - INFO - 다음 페이지 클릭
2022-03-03 17:57:33,218 - movie_logger - INFO - 151,클라우스
2022-03-03 17:57:33,253 - movie_logger - INFO - 152,클라우스
2022-03-03 17:57:33,285 - movie_logger - INFO - 153,클라우스
